listing_id,available_date,available,price,minimum_nights,maximum_nights
4742900,10/20/2020,f,599,60,1125
4067897,10/22/2020,f,189,2,365
78831,10/22/2020,f,109,2,14
4756372,10/22/2020,t,685,4,90
4076557,10/22/2020,f,125,2,1125
78884,10/20/2020,f,80,2,1125
4759081,10/20/2020,f,130,2,1125
79100,10/24/2020,f,125,4,1125
4764568,10/24/2020,f,498,2,7
79432,10/20/2020,t,119,30,45
79603,10/20/2020,f,150,2,15
4766360,10/20/2020,f,95,2,10
4077459,10/20/2020,f,150,30,352
4775925,10/21/2020,t,105,183,1125
79768,10/20/2020,f,225,4,30
4078567,10/22/2020,f,2100,3,1125
80725,10/20/2020,f,150,30,1125
4776659,10/20/2020,f,279,2,62
82033,10/20/2020,t,400,1,30
4795682,10/22/2020,f,75,3,365
4082265,10/20/2020,f,384,4,390
4808400,10/22/2020,f,300,2,365
83643,10/20/2020,f,47,2,14
84771,10/20/2020,f,81,2,30
4809429,10/22/2020,f,150,1,1125
4085163,10/20/2020,f,893,2,1125
89475,10/22/2020,f,329,30,365
4814446,10/22/2020,f,375,2,1125
104386,10/20/2020,f,70,31,180
4085926,10/24/2020,f,390,4,1125
4815071,10/20/2020,f,600,3,1125
109005,10/20/2020,f,78,3,1125
4091409,10/20/2020,t,129,2,1125
113779,10/22/2020,f,119,5,365
4820267,10/22/2020,f,155,3,500
113791,10/22/2020,f,60,30,365
4821958,10/23/2020,f,225,3,1125
4824833,10/20/2020,f,90,1,12
4092112,10/20/2020,f,97,1,1125
116014,10/23/2020,f,259,1,15
4839691,10/22/2020,f,600,4,1125
128326,10/22/2020,t,295,3,365
4095705,10/22/2020,f,120,,
140474,10/20/2020,f,136,5,365
4848222,10/20/2020,f,100,1,1125
140504,10/20/2020,f,119,5,365
4849820,10/20/2020,f,70,3,120
4102866,10/20/2020,f,375,2,1125
141550,10/20/2020,f,92,1,1125
4855450,10/20/2020,f,480,3,14
4103988,10/20/2020,f,600,2,1125
145210,10/20/2020,f,99,3,365
4856743,10/22/2020,f,104,2,1125
4112403,10/22/2020,f,189,2,30
4871772,10/22/2020,f,30,14,30
4117663,10/22/2020,f,400,2,3
154103,10/24/2020,f,450,3,60
4117827,10/22/2020,f,300,1,1125
4871898,10/20/2020,f,450,2,1125
155359,10/20/2020,f,90,90,1125
4881360,10/22/2020,f,833,2,1125
158398,10/22/2020,f,799,3,1125
4886509,10/20/2020,f,400,4,1125
166561,10/20/2020,f,79,2,45
4121482,10/20/2020,f,200,2,1115
4886987,10/20/2020,t,125,5,1125
167459,10/21/2020,f,800,3,14
4900223,10/24/2020,f,90,5,1125
4121676,10/22/2020,t,239,4,1125
172104,10/22/2020,f,75,3,14
4901443,10/20/2020,f,185,3,60
4134923,10/20/2020,f,135,7,25
174828,10/20/2020,f,239,2,365
184853,10/22/2020,f,150,30,730
4137101,10/20/2020,f,125,5,9
4905837,10/20/2020,f,150,1,1125
4906733,10/20/2020,f,57,2,1125
195674,10/22/2020,t,750,2,30
4141322,10/20/2020,f,150,1,1125
202187,10/22/2020,f,61,1,1125
4914582,10/20/2020,f,119,2,1125
5084388,10/20/2020,f,700,1,1125
4144319,10/24/2020,f,30,1,7
4931574,10/24/2020,f,399,2,1125
5085831,10/22/2020,f,449,3,1125
5086211,10/22/2020,f,91,3,180
4145599,10/20/2020,f,85,2,1125
4932506,10/22/2020,f,50,1,1125
5086356,10/22/2020,f,350,4,1125
4936914,10/20/2020,t,250,3,15
5090933,10/20/2020,f,795,2,30
4941458,10/22/2020,t,85,2,1125
5094445,10/20/2020,f,144,2,14
4148428,10/20/2020,t,450,1,1125
4942407,10/22/2020,f,60,30,120
4943050,10/22/2020,f,1350,1,1125
5102612,10/22/2020,t,500,1,1125
5103926,10/20/2020,f,225,3,30
4947590,10/22/2020,f,125,5,7
4948909,10/23/2020,f,500,90,365
5104248,10/20/2020,f,325,45,365
4150237,10/22/2020,f,650,1,1125
4955455,10/20/2020,t,95,2,1125
4151136,10/20/2020,f,50,1,14
5105066,10/24/2020,f,185,2,1125
4957726,10/20/2020,t,1099,1,30
4966325,10/20/2020,f,200,3,1125
5105770,10/20/2020,f,170,2,1125
4966926,10/20/2020,f,80,1,1125
4967450,10/20/2020,f,995,3,1125
4974255,10/20/2020,f,69,2,28
5106886,10/22/2020,f,400,3,1125
4151271,10/20/2020,f,136,2,90
